UID,Review_ID,Name,Rating,Text
19,3,3***8,5,slam or thanks daraz bhot hi service ha 1din phly hi parsl rcve ho gay ha save packing Kay shat bhot hi ache device ha 2din use kry KY bad bhe koi isu ni Aya again thanks daraz
19,4,imtiaz,5,seller ko 11 november order dia tha aor 13 november ke 4 baje order book kia tha. delivery to time se agai lekin kafi jaldi thi mobile ki.is waja se seller ko jaldi krni chahye thi. over all experience was good achi chez bheji. koi gift bhejte to kafi acha lagta but no way thnx alot.
19,5,ali H.,5,zabrdast amazing 😍😍😍😍😍 thank you so much for this owesome mobile bht hi Alla saller is very coprative yeh bnda waky hlal kma rha hai 🌹🌹🌹🌹🌹❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
19,6,M A.,5,I am satisfied with the product n recommended
20,1,Noman A.,5,Reciceved it in 3 days good mobile original no damage to the product original charger was also in the box Recommended Seller
20,2,Muneeb R.,5,UNBEATABLE PRICE BY SELLER VERY CO OPERATIVE SELLER BUT VERY LATE ANSWERING . OVERALL 10/10 THANK YOU TO DARAZ PLATFORM
20,3,Aziz U.,5,"Product is original and as per details given. Delivered well before the committed time. Good presentable packaging, delivery is safe and sound.recommended the saller."
20,4,Aziz U.,5,"Product is original and as per details given. Delivered well before the committed time. Good presentable packaging, delivery is safe and sound.recommended the saller."
20,5,Muneeb R.,5,UNBEATABLE PRICE BY SELLER VERY CO OPERATIVE SELLER BUT VERY LATE ANSWERING . OVERALL 10/10 THANK YOU TO DARAZ PLATFORM
20,6,Uxman Z.,5,Very Good seller at daraz store.i am satisfied with this order and recommend this seller. very Good and fast mobile thanks daraz.
21,1,Muhammad A.,5,"Excellent product, genuine and original product, PTA approved. No Patched mobile. Seller sounds a very professional and committed in such deals. strongly recommended and feel free to buy this product. Thank you Daraz and Grateful to you Dear Seller..."
21,2,Asif M.,5,#11.11 received as per specs mentioned. highly recommended.
21,3,Shaan U.,5,Box was sealed and came with all accessories. The seller is recommended for geniune product.
21,4,3***6,5,excellent device delivered before time 100% seller recommended.
21,5,3***0,5,very beautiful thanks shop tech love you set was pin pack
21,6,Asif M.,5,#11.11 received as per specs mentioned. highly recommended.
22,1,Raz M.,5,Mashallah 11.11 Sale Received safe packed PTA approved Dilivered in time response excellent Great Quality Satisfied original item received thanks seller and Daraz 👍👍😁😊
22,2,Muhammad Y.,5,Quality is good. Original product. Non activated
22,3,AC R.,5,# 11.11 brand new. pin packed. good quality. got in 20000/- only. made in Pakistan. Seller Recommended.
22,4,AC R.,5,# 11.11 brand new. pin packed. good quality. got in 20000/- only. made in Pakistan. Seller Recommended.
22,5,z***4,5,"i loved the phone, its orignal n sealed brand new phone. Thank you seller."
22,6,Muhammad T.,5,excellent phone at a very cheap price on 11.11 sale HBL deal.
23,1,Muhammad U.,5,received Original Product of Redme... Seller Response Very Good and Early. Satisfied 👍
23,2,Saeed K.,5,Mobile to Pinpack hai jaldi bi Ponch aya laikn delivery walo ne us adress pe nahi ponchaya jo adress dia tha balke call kr ke inform kia gaya or kaha gaya k a ke khud le jaye jiske ko laine k kiye mujhe 12 km dor ja ke kaina para bht afsos howa is bat pe.
23,3,Yar M.,5,"Great mobile, fast charging bhi nahi hai and No Glass No Cover. Best for my Rayyan Ali Khan."
23,4,Yar M.,5,"Great mobile, fast charging bhi nahi hai and No Glass No Cover. Best for my Rayyan Ali Khan."
